date,location,new_cases
2020-06-26,Marzahn-Hellersdorf,3
2020-06-27,Marzahn-Hellersdorf,1
2020-06-28,Marzahn-Hellersdorf,0
2020-06-29,Marzahn-Hellersdorf,1
2020-06-30,Marzahn-Hellersdorf,0
2020-07-01,Marzahn-Hellersdorf,6
2020-07-02,Marzahn-Hellersdorf,3
2020-07-03,Marzahn-Hellersdorf,4
2020-07-04,Marzahn-Hellersdorf,0
2020-07-05,Marzahn-Hellersdorf,0
2020-07-06,Marzahn-Hellersdorf,3
2020-07-07,Marzahn-Hellersdorf,2
2020-07-08,Marzahn-Hellersdorf,10
2020-07-09,Marzahn-Hellersdorf,6
2020-07-10,Marzahn-Hellersdorf,1
2020-07-11,Marzahn-Hellersdorf,0
2020-07-12,Marzahn-Hellersdorf,0
2020-07-13,Marzahn-Hellersdorf,0
2020-07-14,Marzahn-Hellersdorf,1
2020-07-15,Marzahn-Hellersdorf,1
2020-07-16,Marzahn-Hellersdorf,3
2020-07-17,Marzahn-Hellersdorf,0
2020-07-18,Marzahn-Hellersdorf,0
2020-07-19,Marzahn-Hellersdorf,0
2020-07-20,Marzahn-Hellersdorf,0
2020-07-21,Marzahn-Hellersdorf,3
2020-07-22,Marzahn-Hellersdorf,4
2020-07-23,Marzahn-Hellersdorf,2
2020-07-24,Marzahn-Hellersdorf,2
2020-07-25,Marzahn-Hellersdorf,1
2020-07-26,Marzahn-Hellersdorf,0
2020-07-27,Marzahn-Hellersdorf,1
2020-07-28,Marzahn-Hellersdorf,1
2020-07-29,Marzahn-Hellersdorf,2
2020-07-30,Marzahn-Hellersdorf,4
2020-07-31,Marzahn-Hellersdorf,4
2020-08-01,Marzahn-Hellersdorf,4
2020-08-02,Marzahn-Hellersdorf,0
2020-08-03,Marzahn-Hellersdorf,0
2020-08-04,Marzahn-Hellersdorf,4
2020-08-05,Marzahn-Hellersdorf,2
2020-08-06,Marzahn-Hellersdorf,2
2020-08-07,Marzahn-Hellersdorf,2
2020-08-08,Marzahn-Hellersdorf,3
2020-08-09,Marzahn-Hellersdorf,2
2020-08-10,Marzahn-Hellersdorf,3
2020-08-11,Marzahn-Hellersdorf,4
2020-08-12,Marzahn-Hellersdorf,4
2020-08-13,Marzahn-Hellersdorf,1
2020-08-14,Marzahn-Hellersdorf,1
2020-08-15,Marzahn-Hellersdorf,0
2020-08-16,Marzahn-Hellersdorf,0
2020-08-17,Marzahn-Hellersdorf,1
2020-08-18,Marzahn-Hellersdorf,5
2020-08-19,Marzahn-Hellersdorf,1
2020-08-20,Marzahn-Hellersdorf,5
2020-08-21,Marzahn-Hellersdorf,2
2020-08-22,Marzahn-Hellersdorf,4
2020-08-23,Marzahn-Hellersdorf,0
2020-08-24,Marzahn-Hellersdorf,0
2020-08-25,Marzahn-Hellersdorf,0
2020-08-26,Marzahn-Hellersdorf,2
2020-08-27,Marzahn-Hellersdorf,1
2020-08-28,Marzahn-Hellersdorf,4
2020-08-29,Marzahn-Hellersdorf,5
2020-08-30,Marzahn-Hellersdorf,0
2020-08-31,Marzahn-Hellersdorf,0
2020-09-01,Marzahn-Hellersdorf,0
2020-09-02,Marzahn-Hellersdorf,3
2020-09-03,Marzahn-Hellersdorf,2
2020-09-04,Marzahn-Hellersdorf,2
2020-09-05,Marzahn-Hellersdorf,1
2020-09-06,Marzahn-Hellersdorf,1
2020-09-07,Marzahn-Hellersdorf,7
2020-09-08,Marzahn-Hellersdorf,0
2020-09-09,Marzahn-Hellersdorf,2
2020-09-10,Marzahn-Hellersdorf,4
2020-09-11,Marzahn-Hellersdorf,3
2020-09-12,Marzahn-Hellersdorf,4
2020-09-13,Marzahn-Hellersdorf,1
2020-09-14,Marzahn-Hellersdorf,1
2020-09-15,Marzahn-Hellersdorf,6
2020-09-16,Marzahn-Hellersdorf,9
2020-09-17,Marzahn-Hellersdorf,11
2020-09-18,Marzahn-Hellersdorf,6
2020-09-19,Marzahn-Hellersdorf,9
2020-09-20,Marzahn-Hellersdorf,4
2020-09-21,Marzahn-Hellersdorf,2
2020-09-22,Marzahn-Hellersdorf,5
2020-09-23,Marzahn-Hellersdorf,14
2020-09-24,Marzahn-Hellersdorf,2
2020-09-25,Marzahn-Hellersdorf,5
2020-09-26,Marzahn-Hellersdorf,4
2020-09-27,Marzahn-Hellersdorf,1
2020-09-28,Marzahn-Hellersdorf,3
2020-09-29,Marzahn-Hellersdorf,5
2020-09-30,Marzahn-Hellersdorf,8
2020-10-01,Marzahn-Hellersdorf,4
2020-10-02,Marzahn-Hellersdorf,15
2020-10-03,Marzahn-Hellersdorf,11
2020-10-04,Marzahn-Hellersdorf,1
2020-10-05,Marzahn-Hellersdorf,3
2020-10-06,Marzahn-Hellersdorf,8
2020-10-07,Marzahn-Hellersdorf,13
2020-10-08,Marzahn-Hellersdorf,9
2020-10-09,Marzahn-Hellersdorf,17
2020-10-10,Marzahn-Hellersdorf,6
2020-10-11,Marzahn-Hellersdorf,4
2020-10-12,Marzahn-Hellersdorf,8
2020-10-13,Marzahn-Hellersdorf,12
2020-10-14,Marzahn-Hellersdorf,27
2020-10-15,Marzahn-Hellersdorf,18
2020-10-16,Marzahn-Hellersdorf,13
2020-10-17,Marzahn-Hellersdorf,6
2020-10-18,Marzahn-Hellersdorf,1
2020-10-19,Marzahn-Hellersdorf,9
2020-10-20,Marzahn-Hellersdorf,26
2020-10-21,Marzahn-Hellersdorf,31
2020-10-22,Marzahn-Hellersdorf,34
2020-10-23,Marzahn-Hellersdorf,21
2020-10-24,Marzahn-Hellersdorf,2
2020-10-25,Marzahn-Hellersdorf,25
2020-10-26,Marzahn-Hellersdorf,27
2020-10-27,Marzahn-Hellersdorf,41
2020-10-28,Marzahn-Hellersdorf,48
2020-10-29,Marzahn-Hellersdorf,52
2020-10-30,Marzahn-Hellersdorf,46
2020-10-31,Marzahn-Hellersdorf,26
2020-11-01,Marzahn-Hellersdorf,9
2020-11-02,Marzahn-Hellersdorf,63
2020-11-03,Marzahn-Hellersdorf,54
2020-11-04,Marzahn-Hellersdorf,37
2020-11-05,Marzahn-Hellersdorf,46
2020-11-06,Marzahn-Hellersdorf,71
2020-11-07,Marzahn-Hellersdorf,34
2020-11-08,Marzahn-Hellersdorf,14
2020-11-09,Marzahn-Hellersdorf,52
2020-11-10,Marzahn-Hellersdorf,63
2020-11-11,Marzahn-Hellersdorf,38
2020-11-12,Marzahn-Hellersdorf,111
2020-11-13,Marzahn-Hellersdorf,28
2020-11-14,Marzahn-Hellersdorf,43
2020-11-15,Marzahn-Hellersdorf,34
2020-11-16,Marzahn-Hellersdorf,40
2020-11-17,Marzahn-Hellersdorf,106
2020-11-18,Marzahn-Hellersdorf,45
2020-11-19,Marzahn-Hellersdorf,82
2020-11-20,Marzahn-Hellersdorf,62
2020-11-21,Marzahn-Hellersdorf,73
2020-11-22,Marzahn-Hellersdorf,51
2020-11-23,Marzahn-Hellersdorf,40
2020-11-24,Marzahn-Hellersdorf,60
2020-11-25,Marzahn-Hellersdorf,76
2020-11-26,Marzahn-Hellersdorf,63
2020-11-27,Marzahn-Hellersdorf,77
2020-11-28,Marzahn-Hellersdorf,79
2020-11-29,Marzahn-Hellersdorf,28
2020-11-30,Marzahn-Hellersdorf,13
2020-12-01,Marzahn-Hellersdorf,57
2020-12-02,Marzahn-Hellersdorf,52
2020-12-03,Marzahn-Hellersdorf,69
2020-12-04,Marzahn-Hellersdorf,75
2020-12-05,Marzahn-Hellersdorf,43
2020-12-06,Marzahn-Hellersdorf,74
2020-12-07,Marzahn-Hellersdorf,19
2020-12-08,Marzahn-Hellersdorf,75
2020-12-09,Marzahn-Hellersdorf,133
2020-12-10,Marzahn-Hellersdorf,53
2020-12-11,Marzahn-Hellersdorf,48
2020-12-12,Marzahn-Hellersdorf,30
2020-12-13,Marzahn-Hellersdorf,57
2020-12-14,Marzahn-Hellersdorf,71
2020-12-15,Marzahn-Hellersdorf,81
2020-12-16,Marzahn-Hellersdorf,81
2020-12-17,Marzahn-Hellersdorf,110
2020-12-18,Marzahn-Hellersdorf,128
2020-12-19,Marzahn-Hellersdorf,41
2020-12-20,Marzahn-Hellersdorf,21
2020-12-21,Marzahn-Hellersdorf,75
2020-12-22,Marzahn-Hellersdorf,84
2020-12-23,Marzahn-Hellersdorf,106
2020-12-24,Marzahn-Hellersdorf,89
2020-12-25,Marzahn-Hellersdorf,0
2020-12-26,Marzahn-Hellersdorf,94
2020-12-27,Marzahn-Hellersdorf,87
2020-12-28,Marzahn-Hellersdorf,36
2020-12-29,Marzahn-Hellersdorf,97
2020-12-30,Marzahn-Hellersdorf,49
2020-12-31,Marzahn-Hellersdorf,30
2021-01-01,Marzahn-Hellersdorf,0
2021-01-02,Marzahn-Hellersdorf,86
2021-01-03,Marzahn-Hellersdorf,122
2021-01-04,Marzahn-Hellersdorf,32
2021-01-05,Marzahn-Hellersdorf,72
2021-01-06,Marzahn-Hellersdorf,111
2021-01-07,Marzahn-Hellersdorf,123
2021-01-08,Marzahn-Hellersdorf,131
2021-01-09,Marzahn-Hellersdorf,14
2021-01-10,Marzahn-Hellersdorf,48
2021-01-11,Marzahn-Hellersdorf,53
2021-01-12,Marzahn-Hellersdorf,80
2021-01-13,Marzahn-Hellersdorf,110
2021-01-14,Marzahn-Hellersdorf,73
2021-01-15,Marzahn-Hellersdorf,70
2021-01-16,Marzahn-Hellersdorf,34
2021-01-17,Marzahn-Hellersdorf,21
2021-01-18,Marzahn-Hellersdorf,22
2021-01-19,Marzahn-Hellersdorf,62
2021-01-20,Marzahn-Hellersdorf,73
2021-01-21,Marzahn-Hellersdorf,65
2021-01-22,Marzahn-Hellersdorf,31
2021-01-23,Marzahn-Hellersdorf,31
2021-01-24,Marzahn-Hellersdorf,6
2021-01-25,Marzahn-Hellersdorf,37
2021-01-26,Marzahn-Hellersdorf,49
2021-01-27,Marzahn-Hellersdorf,44
2021-01-28,Marzahn-Hellersdorf,13
2021-01-29,Marzahn-Hellersdorf,41
2021-01-30,Marzahn-Hellersdorf,7
2021-01-31,Marzahn-Hellersdorf,0
2021-02-01,Marzahn-Hellersdorf,35
2021-02-02,Marzahn-Hellersdorf,28
2021-02-03,Marzahn-Hellersdorf,35
2021-02-04,Marzahn-Hellersdorf,30
2021-02-05,Marzahn-Hellersdorf,26
2021-02-06,Marzahn-Hellersdorf,6
2021-02-07,Marzahn-Hellersdorf,0
2021-02-08,Marzahn-Hellersdorf,19
2021-02-09,Marzahn-Hellersdorf,46
2021-02-10,Marzahn-Hellersdorf,30
2021-02-11,Marzahn-Hellersdorf,39
2021-02-12,Marzahn-Hellersdorf,10
2021-02-13,Marzahn-Hellersdorf,17
2021-02-14,Marzahn-Hellersdorf,0
2021-02-15,Marzahn-Hellersdorf,17
2021-02-16,Marzahn-Hellersdorf,28
2021-02-17,Marzahn-Hellersdorf,41
2021-02-18,Marzahn-Hellersdorf,23
2021-02-19,Marzahn-Hellersdorf,23
2021-02-20,Marzahn-Hellersdorf,6
2021-02-21,Marzahn-Hellersdorf,0
2021-02-22,Marzahn-Hellersdorf,29
2021-02-23,Marzahn-Hellersdorf,23
2021-02-24,Marzahn-Hellersdorf,32
2021-02-25,Marzahn-Hellersdorf,36
2021-02-26,Marzahn-Hellersdorf,42
2021-02-27,Marzahn-Hellersdorf,5
2021-02-28,Marzahn-Hellersdorf,0
2021-03-01,Marzahn-Hellersdorf,20
2021-03-02,Marzahn-Hellersdorf,57
2021-03-03,Marzahn-Hellersdorf,19
2021-03-04,Marzahn-Hellersdorf,47
2021-03-05,Marzahn-Hellersdorf,22
2021-03-06,Marzahn-Hellersdorf,4
2021-03-07,Marzahn-Hellersdorf,0
2021-03-08,Marzahn-Hellersdorf,16
2021-03-09,Marzahn-Hellersdorf,23
2021-03-10,Marzahn-Hellersdorf,32
2021-03-11,Marzahn-Hellersdorf,45
2021-03-12,Marzahn-Hellersdorf,79
2021-03-13,Marzahn-Hellersdorf,12
2021-03-14,Marzahn-Hellersdorf,0
2021-03-15,Marzahn-Hellersdorf,38
2021-03-16,Marzahn-Hellersdorf,59
2021-03-17,Marzahn-Hellersdorf,76
2021-03-18,Marzahn-Hellersdorf,51
2021-03-19,Marzahn-Hellersdorf,50
2021-03-20,Marzahn-Hellersdorf,0
2021-03-21,Marzahn-Hellersdorf,0
2021-03-22,Marzahn-Hellersdorf,33
2021-03-23,Marzahn-Hellersdorf,172
2021-03-24,Marzahn-Hellersdorf,55
2021-03-25,Marzahn-Hellersdorf,97
2021-03-26,Marzahn-Hellersdorf,80
2021-03-27,Marzahn-Hellersdorf,69
2021-03-28,Marzahn-Hellersdorf,0
2021-03-29,Marzahn-Hellersdorf,31
2021-03-30,Marzahn-Hellersdorf,46
2021-03-31,Marzahn-Hellersdorf,63
2021-04-01,Marzahn-Hellersdorf,101
2021-04-02,Marzahn-Hellersdorf,54
2021-04-03,Marzahn-Hellersdorf,35
2021-04-04,Marzahn-Hellersdorf,24
2021-04-05,Marzahn-Hellersdorf,27
2021-04-06,Marzahn-Hellersdorf,17
2021-04-07,Marzahn-Hellersdorf,35
2021-04-08,Marzahn-Hellersdorf,68
2021-04-09,Marzahn-Hellersdorf,77
2021-04-10,Marzahn-Hellersdorf,39
2021-04-11,Marzahn-Hellersdorf,0
2021-04-12,Marzahn-Hellersdorf,46
2021-04-13,Marzahn-Hellersdorf,93
2021-04-14,Marzahn-Hellersdorf,84
2021-04-15,Marzahn-Hellersdorf,52
2021-04-16,Marzahn-Hellersdorf,79
2021-04-17,Marzahn-Hellersdorf,81
2021-04-18,Marzahn-Hellersdorf,0
2021-04-19,Marzahn-Hellersdorf,38
2021-04-20,Marzahn-Hellersdorf,71
2021-04-21,Marzahn-Hellersdorf,66
2021-04-22,Marzahn-Hellersdorf,79
2021-04-23,Marzahn-Hellersdorf,72
2021-04-24,Marzahn-Hellersdorf,62
2021-04-25,Marzahn-Hellersdorf,0
2021-04-26,Marzahn-Hellersdorf,46
2021-04-27,Marzahn-Hellersdorf,56
2021-04-28,Marzahn-Hellersdorf,68
2021-04-29,Marzahn-Hellersdorf,24
2021-04-30,Marzahn-Hellersdorf,110
2021-05-01,Marzahn-Hellersdorf,14
2021-05-02,Marzahn-Hellersdorf,1
2021-05-03,Marzahn-Hellersdorf,52
2021-05-04,Marzahn-Hellersdorf,78
2021-05-05,Marzahn-Hellersdorf,54
2021-05-06,Marzahn-Hellersdorf,46
2021-05-07,Marzahn-Hellersdorf,30
2021-05-08,Marzahn-Hellersdorf,56
2021-05-09,Marzahn-Hellersdorf,0
2021-05-10,Marzahn-Hellersdorf,21
2021-05-11,Marzahn-Hellersdorf,34
2021-05-12,Marzahn-Hellersdorf,62
2021-05-13,Marzahn-Hellersdorf,24
2021-05-14,Marzahn-Hellersdorf,14
2021-05-15,Marzahn-Hellersdorf,49
2021-05-16,Marzahn-Hellersdorf,0
2021-05-17,Marzahn-Hellersdorf,32
2021-05-18,Marzahn-Hellersdorf,13
2021-05-19,Marzahn-Hellersdorf,31
2021-05-20,Marzahn-Hellersdorf,33
2021-05-21,Marzahn-Hellersdorf,24
2021-05-22,Marzahn-Hellersdorf,25
2021-05-23,Marzahn-Hellersdorf,0
2021-05-24,Marzahn-Hellersdorf,9
2021-05-25,Marzahn-Hellersdorf,3
2021-05-26,Marzahn-Hellersdorf,29
2021-05-27,Marzahn-Hellersdorf,17
2021-05-28,Marzahn-Hellersdorf,10
2021-05-29,Marzahn-Hellersdorf,12
2021-05-30,Marzahn-Hellersdorf,0
2021-05-31,Marzahn-Hellersdorf,13
2021-06-01,Marzahn-Hellersdorf,17
2021-06-02,Marzahn-Hellersdorf,21
2021-06-03,Marzahn-Hellersdorf,8
2021-06-04,Marzahn-Hellersdorf,20
2021-06-05,Marzahn-Hellersdorf,0
2021-06-06,Marzahn-Hellersdorf,0
2021-06-07,Marzahn-Hellersdorf,17
2021-06-08,Marzahn-Hellersdorf,9
2021-06-09,Marzahn-Hellersdorf,6
2021-06-10,Marzahn-Hellersdorf,5
2021-06-11,Marzahn-Hellersdorf,5
2021-06-12,Marzahn-Hellersdorf,0
2021-06-13,Marzahn-Hellersdorf,0
2021-06-14,Marzahn-Hellersdorf,5
2021-06-15,Marzahn-Hellersdorf,5
2021-06-16,Marzahn-Hellersdorf,5
2021-06-17,Marzahn-Hellersdorf,4
2021-06-18,Marzahn-Hellersdorf,3
2021-06-19,Marzahn-Hellersdorf,0
2021-06-20,Marzahn-Hellersdorf,0
2021-06-21,Marzahn-Hellersdorf,9
2021-06-22,Marzahn-Hellersdorf,4
2021-06-23,Marzahn-Hellersdorf,4
2021-06-24,Marzahn-Hellersdorf,3
2021-06-25,Marzahn-Hellersdorf,5
2021-06-26,Marzahn-Hellersdorf,0
2021-06-27,Marzahn-Hellersdorf,0
2021-06-28,Marzahn-Hellersdorf,2
2021-06-29,Marzahn-Hellersdorf,2
2021-06-30,Marzahn-Hellersdorf,1
2021-07-01,Marzahn-Hellersdorf,6
2021-07-02,Marzahn-Hellersdorf,0
2021-07-03,Marzahn-Hellersdorf,0
2021-07-04,Marzahn-Hellersdorf,0
2021-07-05,Marzahn-Hellersdorf,2
2021-07-06,Marzahn-Hellersdorf,1
2021-07-07,Marzahn-Hellersdorf,1
2021-07-08,Marzahn-Hellersdorf,1
2021-07-09,Marzahn-Hellersdorf,2
2021-07-10,Marzahn-Hellersdorf,0
2021-07-11,Marzahn-Hellersdorf,0
2021-07-12,Marzahn-Hellersdorf,1
2021-07-13,Marzahn-Hellersdorf,4
2021-07-14,Marzahn-Hellersdorf,0
2021-07-15,Marzahn-Hellersdorf,2
2021-07-16,Marzahn-Hellersdorf,1
2021-07-17,Marzahn-Hellersdorf,0
2021-07-18,Marzahn-Hellersdorf,0
2021-07-19,Marzahn-Hellersdorf,9
2021-07-20,Marzahn-Hellersdorf,5
2021-07-21,Marzahn-Hellersdorf,8
2021-07-22,Marzahn-Hellersdorf,8
2021-07-23,Marzahn-Hellersdorf,10
2021-07-24,Marzahn-Hellersdorf,0
2021-07-25,Marzahn-Hellersdorf,0
2021-07-26,Marzahn-Hellersdorf,5
2021-07-27,Marzahn-Hellersdorf,5
2021-07-28,Marzahn-Hellersdorf,6
2021-07-29,Marzahn-Hellersdorf,5
2021-07-30,Marzahn-Hellersdorf,5
2021-07-31,Marzahn-Hellersdorf,0
2021-08-01,Marzahn-Hellersdorf,0
2021-08-02,Marzahn-Hellersdorf,10
2021-08-03,Marzahn-Hellersdorf,15
2021-08-04,Marzahn-Hellersdorf,14
2021-08-05,Marzahn-Hellersdorf,14
2021-08-06,Marzahn-Hellersdorf,13
2021-08-07,Marzahn-Hellersdorf,0
2021-08-08,Marzahn-Hellersdorf,0
2021-08-09,Marzahn-Hellersdorf,24
2021-08-10,Marzahn-Hellersdorf,26
2021-08-11,Marzahn-Hellersdorf,25
2021-08-12,Marzahn-Hellersdorf,32
2021-08-13,Marzahn-Hellersdorf,28
2021-08-14,Marzahn-Hellersdorf,0
2021-08-15,Marzahn-Hellersdorf,0
2021-08-16,Marzahn-Hellersdorf,26
2021-08-17,Marzahn-Hellersdorf,37
2021-08-18,Marzahn-Hellersdorf,28
2021-08-19,Marzahn-Hellersdorf,45
2021-08-20,Marzahn-Hellersdorf,16
2021-08-21,Marzahn-Hellersdorf,0
2021-08-22,Marzahn-Hellersdorf,0
2021-08-23,Marzahn-Hellersdorf,41
2021-08-24,Marzahn-Hellersdorf,20
2021-08-25,Marzahn-Hellersdorf,35
2021-08-26,Marzahn-Hellersdorf,22
2021-08-27,Marzahn-Hellersdorf,35
2021-08-28,Marzahn-Hellersdorf,0
2021-08-29,Marzahn-Hellersdorf,0
2021-08-30,Marzahn-Hellersdorf,35
2021-08-31,Marzahn-Hellersdorf,34
2021-09-01,Marzahn-Hellersdorf,47
2021-09-02,Marzahn-Hellersdorf,26
2021-09-03,Marzahn-Hellersdorf,42
2021-09-04,Marzahn-Hellersdorf,0
2021-09-05,Marzahn-Hellersdorf,0
2021-09-06,Marzahn-Hellersdorf,43
2021-09-07,Marzahn-Hellersdorf,37
2021-09-08,Marzahn-Hellersdorf,38
2021-09-09,Marzahn-Hellersdorf,16
2021-09-10,Marzahn-Hellersdorf,20
2021-09-11,Marzahn-Hellersdorf,0
2021-09-12,Marzahn-Hellersdorf,0
2021-09-13,Marzahn-Hellersdorf,40
2021-09-14,Marzahn-Hellersdorf,13
2021-09-15,Marzahn-Hellersdorf,23
2021-09-16,Marzahn-Hellersdorf,28
2021-09-17,Marzahn-Hellersdorf,24
2021-09-18,Marzahn-Hellersdorf,0
2021-09-19,Marzahn-Hellersdorf,0
2021-09-20,Marzahn-Hellersdorf,27
2021-09-21,Marzahn-Hellersdorf,15
2021-09-22,Marzahn-Hellersdorf,52
2021-09-23,Marzahn-Hellersdorf,25
2021-09-24,Marzahn-Hellersdorf,18
2021-09-25,Marzahn-Hellersdorf,0
2021-09-26,Marzahn-Hellersdorf,0
2021-09-27,Marzahn-Hellersdorf,35
2021-09-28,Marzahn-Hellersdorf,26
2021-09-29,Marzahn-Hellersdorf,47
2021-09-30,Marzahn-Hellersdorf,28
2021-10-01,Marzahn-Hellersdorf,32
2021-10-02,Marzahn-Hellersdorf,0
2021-10-03,Marzahn-Hellersdorf,0
2021-10-04,Marzahn-Hellersdorf,45
2021-10-05,Marzahn-Hellersdorf,39
2021-10-06,Marzahn-Hellersdorf,45
2021-10-07,Marzahn-Hellersdorf,32
2021-10-08,Marzahn-Hellersdorf,39
2021-10-09,Marzahn-Hellersdorf,0
2021-10-10,Marzahn-Hellersdorf,0
2021-10-11,Marzahn-Hellersdorf,59
2021-10-12,Marzahn-Hellersdorf,22
2021-10-13,Marzahn-Hellersdorf,43
2021-10-14,Marzahn-Hellersdorf,22
2021-10-15,Marzahn-Hellersdorf,59
2021-10-16,Marzahn-Hellersdorf,0
2021-10-17,Marzahn-Hellersdorf,0
2021-10-18,Marzahn-Hellersdorf,50
2021-10-19,Marzahn-Hellersdorf,39
2021-10-20,Marzahn-Hellersdorf,71
2021-10-21,Marzahn-Hellersdorf,33
2021-10-22,Marzahn-Hellersdorf,36
2021-10-23,Marzahn-Hellersdorf,0
2021-10-24,Marzahn-Hellersdorf,0
2021-10-25,Marzahn-Hellersdorf,45
2021-10-26,Marzahn-Hellersdorf,70
2021-10-27,Marzahn-Hellersdorf,57
2021-10-28,Marzahn-Hellersdorf,71
2021-10-29,Marzahn-Hellersdorf,73
2021-10-30,Marzahn-Hellersdorf,0
